CNPJ,NOME FANTASIA,SITUAÃÃO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
18828059,THO COMERCIO DE CALCADOS E ACESSORIOS DO VESTUARIO,2,4782201,"4781400,4772500",RS,8841
9562037,MH MODA INTIMA,8,4642701,"4781400,4649410,4783101,4646001,4772500,4641902,4755503,4753900,4754701,4759899",RS,8841
18852288,,8,4520005,,RS,8841
18854387,,8,4755503,"4789001,4781400",RS,8841
18873800,OCTOS TECNOLOGIA,2,4751201,"4759899,9511800",RS,8841
18878648,SOL SERVICOS,8,8211300,,RS,8841
18882887,DIAMANTES REPRESENTACOES,4,4617600,"4619200,4615000,4612500",RS,8841
10996305,SANTINO ARTISAN GELATO,8,5611203,5611201,RS,8841
18901301,EFEITO IDEAL,8,9313100,4781400,RS,8841
18902667,EBENEZER TRANSPORTES,2,4930201,"4930202,4930204,6110802",RS,8841
18902761,NILZASANTAMARIA,8,9602501,,RS,8841
87042875,,8,4711302,,RS,8841
18911474,BITTENCOURT AGROPECUARIA,8,4692300,"4683400,4744001,4744099,4789002,4763604,4771704,4789004,4729699",RS,8841
15628368,,8,4755503,"4755502,4759801,4781400,4772500",RS,8841
18959124,ARTES & FUXICOS,8,1629301,3299099,RS,8841
19002003,ADRIANA ANTUNES,8,9602502,4772500,RS,8841
3090254,,2,4781400,,RS,8841
19009218,,8,4722901,"4755503,4789099,4723700,4729699,4782202",RS,8841
19048710,SANTA ARQUITETURA & CONSTRUCOES,2,7111100,"4120400,7490199",RS,8841
19055644,XIS BARAO,8,5611203,4723700,RS,8841
19085046,PEDRO FERREIRA,2,9001902,8230001,RS,8841
19118122,ATELIER MAOS QUE CRIAM,8,3299099,"4755502,2219600,4789003,3212400,8599699,1749400,1629301",RS,8841
19134454,,2,6810202,"6810201,4110700,4120400",RS,8841
19139482,,2,4731800,"4930202,4520005,4530703,5611201,4761002,5611203,4930201,4721104",RS,8841
19140790,,4,9521500,,RS,8841
19149924,VARGAS EVENTOS,8,7420001,4789008,RS,8841
19154672,SABOR DA CASA,4,5620104,1091102,RS,8841
18547321,CASA DE CARNES PAMPA,8,4722901,,RS,8841
19179971,THE BROTHER'S SOUND,8,4530703,4520007,RS,8841
19181474,,8,5611201,,RS,8841
19182145,SIMON COMERCIO E REPRESENTAES,4,4619200,4693100,RS,8841
11037753,NOVO TEMPO CONTABILIDADE E ASSESSORIA LTDA,2,6920601,,RS,8841
19204987,BACK SERVICE,8,4520001,"4330404,4322301,8130300,4530703,4321500",RS,8841
19208890,,8,4781400,4759899,RS,8841
19257028,,2,6810201,"6810202,6810203,4110700,4120400",RS,8841
19265259,ACOUGUE GOULARTE,8,4722901,"4722902,4721103,4789099,4723700,5611203",RS,8841
19265471,ATELIER DA BELEZA,8,9602501,"9602502,4729699,4772500",RS,8841
19272570,SE REFORMAS,8,4399103,"4330405,4330402",RS,8841
19275827,LUCAS DE ALMEIDA,8,9001902,"8599699,8592903",RS,8841
240629,,8,4781400,,RS,8841
4685837,,2,4661300,"0161001,0161003,2212900,3314711,3314712,3314717,4511102,4512901,4512902,4530701,4530702,4530703,4530705,4530706,4611700,4614100,4623108,4642701,4643501,4662100,4669901,4681801,4681805,4683400,4731800,4732600,4781400,4782201,4789002,4789005,4789099,4930202,6399200,6462000,6493000,7490103,7490104,7731400,7732201,7739099",RS,8841
19290863,MECANICA TUIUTI,8,4520001,4530703,RS,8841
88212113,SAO JOAO FARMACIAS,2,4771701,"4723700,4729699,4763601,4772500,4781400,4782201,4789004,8630506,8650099",RS,8841
19323652,AMB COBRANCAS,2,8291100,,RS,8841
54516661,JOHNSON & JOHNSON MEDICAL BRASIL,8,4645102,"4645101,4664800",RS,8841
19334433,VET IMAGEM,2,7500100,"4623109,4644302,4661300,4683400,4693100,4744001,4759899,4763604,4771704,4781400,4782201,4782202,4789002,4789004,7490103,8130300,8599604,9609208",RS,8841
19335699,MINI MERCADO DAMAWE,8,4712100,,RS,8841
19187135,MERCADO E PADARIA VITORIA,8,4721102,4729699,RS,8841
4780937,ESTACIONAMENTO BEHR,8,5223100,,RS,8841
19361442,BROTHER'S BEER,8,4723700,"4721104,5223100",RS,8841
4112118,MULTISOM,8,4752100,"4751201,4753900,4756300,4757100,4762800,4763601,4789008,4789099,6120501,6190699,7490104,7990200",RS,8841
19375456,,4,4930201,"4930202,4744099,4744001,4672900,4679699,4623109,4789004,4511101,4511102,4623199",RS,8841
19382419,RODRIGUES CLIMATIZACAO,8,4322302,9521500,RS,8841
19383632,RICARDO OLIVEIRA TRANSPORTES,8,4930202,4930201,RS,8841
19387634,METALURGICA SELIGMAN,2,2512800,"2542000,4744005,2539001",RS,8841
19389864,,8,4399103,"4330405,4330404,4322301,4330402,4321500",RS,8841
19399677,XISQUINHO LANCHES,2,5611203,4723700,RS,8841
19401750,,8,8599604,,RS,8841
15518650,MIRELARECHIA,4,9602502,9602501,RS,8841
19412570,"CONSULTORIA AMBIENTAL, ENGENHARIA E MEIO AMBIENTE",2,7112000,"7119701,7119703",RS,8841
19412753,,2,5612100,"5620104,1096100,4755502,4781400,4723700,5611203",RS,8841
19422772,,8,5620104,4723700,RS,8841
19441818,ROSSI TECNOLOGIA,8,9511800,"3321000,4751201",RS,8841
19443322,PADARIA BATISTELLO,4,4712100,"4721102,4723700",RS,8841
19454378,SANDOR MELLO PRODUCOES ARTISTICAS,4,9001902,8230001,RS,8841
19459385,K E K PRODUCOES,8,9001902,8230001,RS,8841
19460503,SUZANE CONFECCOES,8,4781400,,RS,8841
19461010,MG ESTAMPAS / MAURER & GUILHERME,8,1340599,"1340501,4781400,1521100,1813099",RS,8841
19463691,,8,4772500,4781400,RS,8841
19463914,,8,3319800,,RS,8841
19464123,TIA ANASTACIA VIANDAS,8,5620104,1091102,RS,8841
19465922,JORGE ALMEIDA PRESTACAO DE SERVICOS,8,1622699,"4330404,4330402",RS,8841
19470680,ATX MULTIMIDIA,8,4329101,"7312200,7319002",RS,8841
19471443,,2,8121400,,RS,8841
19473922,,4,4729699,,RS,8841
19481695,ALAMINUTAS MORADAS,8,5620104,,RS,8841
19483279,,4,5620104,,RS,8841
19508625,,8,4330404,"4330405,4399199,8130300,4322301,4330402,4321500,4399103,2599301",RS,8841
19522974,DM MODAS,8,4781400,"4783101,4789099",RS,8841
19525371,TRANSPORTE REGINA,8,4924800,,RS,8841
11667234,IMPRESSOS RAPIDOS,8,8219999,"8599603,8599604,7319002,7319003,5812301,5819100",RS,8841
19541806,EDIFICIO RESIDENCIAL VO ESTHER,2,8112500,,RS,8841
19553467,,8,4520001,,RS,8841
19560679,RIBEIRO,8,4399103,"4330405,4330404,4399199,4322301,4330402,2599301",RS,8841
19579550,,8,9602502,,RS,8841
19583480,ADMINISTRADORA COBERTURA,4,8211300,,RS,8841
19583539,GOLD CONTABILIDADE,8,6920601,,RS,8841
18679743,REI DAS VALVULAS,2,4679699,"4744099,4753900,4322301,3314707,9521500",RS,8841
19595896,LIMPEZA PREDIAL CHAVES,2,8121400,,RS,8841
15194015,ATELIE DE COSTURA ISABELS'K,2,1412601,"9529199,1412602",RS,8841
19615926,,8,4399103,4322301,RS,8841
19618400,EDIFICIO RESIDENCIAL VIENA,2,8112500,,RS,8841
19634584,,8,4330403,,RS,8841
19645435,OFICINA PIRES,8,4520001,,RS,8841
19652679,,4,3812200,3811400,RS,8841
19672043,,8,4772500,,RS,8841
19672792,,8,4330403,,RS,8841
19678232,ENTRE EM GESSO,8,4330403,4330404,RS,8841
19684704,EMPREITEIRA DIAS,8,4399103,"4330405,4755502,4330404,4781400,4399199,8130300,4322301,4330402,4321500,2599301,4772500",RS,8841
19687065,,8,6462000,,RS,8841
19689182,,8,3321000,"4322302,4329103",RS,8841
19694169,FIRE,8,4322303,7490199,RS,8841
19707544,HABITOS PRODUTOS NATURAIS,8,4729699,"4781400,4761001",RS,8841
19710343,DICO LANCHES,2,5612100,5611203,RS,8841
19719101,TUTU CONVITES,2,1749400,8219901,RS,8841
19744304,BAR & ARMAZEM DO PEPE,8,5611204,"4721102,4713002,4789005",RS,8841
19754591,,2,8112500,,RS,8841
19774690,,4,4721102,"4712100,1091101",RS,8841
19778241,PLATAFORMA ROOM,4,6319400,,RS,8841
19790982,J B TECNOLOGIA,8,9511800,7420001,RS,8841
19809132,ROSA E COMPANIA,4,3831901,,RS,8841
19812430,,8,8211300,,RS,8841
19820677,CORPO E ALMA MASSAGEM,2,9602502,,RS,8841
13841410,CASA DO SOFA,8,4754701,4754702,RS,8841
19868471,,2,4781400,"4763601,4755503,4713002",RS,8841
19873102,,8,5229002,,RS,8841
